Sex,Weeks,CellType,EmbryoID,CellID
F,17,PGC,1,sc17
F,8,Soma,1,sc3
F,10,PGC,2,sc4
M,19,PGC,1,sc7
M,7,Soma,3,sc5
M,7,PGC,3,sc1
F,10,PGC,2,sc10
F,17,PGC,1,sc5
F,17,Soma,1,sc8
M,19,PGC,1,sc16
F,8,PGC,1,sc2
M,7,Soma,1,sc6
F,8,PGC,1,sc15
F,17,PGC,1,sc27
M,11,PGC,1,sc10
M,10,Soma,1,sc1
F,8,PGC,1,sc9
M,7,Soma,3,sc3
M,10,Soma,1,sc10
M,19,PGC,1,sc5
F,17,PGC,1,sc14
M,19,Soma,1,sc1
M,19,PGC,1,sc11
M,10,PGC,1,sc10
M,11,PGC,2,sc9
M,19,PGC,1,sc13
F,11,Soma,3,sc1
M,11,PGC,2,sc7
F,17,Soma,1,sc1
M,19,PGC,1,sc6
F,17,PGC,1,sc10
F,8,Soma,1,sc1
M,19,PGC,1,sc24
F,11,Soma,3,sc8
M,19,PGC,1,sc26
M,19,PGC,2,sc16
M,10,PGC,1,sc3
M,7,PGC,2,sc7
F,8,PGC,1,sc16
M,19,PGC,1,sc1
M,19,PGC,2,sc19
M,10,PGC,1,sc4
F,8,Soma,1,sc10
M,19,PGC,2,sc13
M,7,PGC,1,sc12
M,19,PGC,2,sc24
M,11,Soma,2,sc4
F,8,PGC,1,sc12
M,7,PGC,1,sc13
M,19,PGC,2,sc5
M,11,PGC,2,sc1
F,8,PGC,1,sc4
M,7,Soma,1,sc2
F,8,PGC,1,sc11
M,7,PGC,2,sc2
F,11,Soma,3,sc10
M,10,Soma,1,sc11
F,11,Soma,3,sc3
F,10,PGC,2,sc6
F,4,PGC,1,sc1
M,11,PGC,2,sc10
M,11,PGC,1,sc3
M,19,PGC,2,sc11
M,19,Soma,2,sc1
M,7,PGC,1,sc1
M,19,PGC,2,sc1
M,11,PGC,1,sc4
M,7,Soma,2,sc5
M,10,PGC,1,sc12
M,19,PGC,2,sc17
M,19,PGC,2,sc14
M,19,PGC,1,sc23
M,7,Soma,2,sc1
M,11,PGC,2,sc15
M,19,PGC,1,sc12
M,11,Soma,2,sc6
F,17,PGC,1,sc9
M,19,PGC,1,sc8
M,19,PGC,1,sc15
F,4,Soma,2,sc4
M,7,PGC,2,sc3
F,8,PGC,1,ps5
F,8,Soma,1,sc5
F,17,PGC,1,sc18
M,7,Soma,3,sc2
M,7,PGC,1,sc11
M,19,PGC,1,sc29
F,4,PGC,2,sc3
F,4,PGC,2,sc1
M,10,PGC,1,sc6
F,8,Soma,1,sc6
M,7,PGC,1,sc8
M,7,Soma,1,sc13
F,17,PGC,1,sc7
M,7,PGC,1,sc15
M,19,PGC,2,sc3
F,17,PGC,1,sc26
M,19,PGC,1,sc30
M,7,Soma,2,sc4
M,19,PGC,1,sc20
F,8,PGC,1,sc7
F,4,PGC,2,sc9
